job_id,category,job_title,ground_truth,extracted_flat,require_tool,require_skill,require_certification,n_gt,n_extracted,precision,recall,f1,jaccard,tp,fp,fn,partial_precision,partial_recall,partial_f1,error
3903461892,HR,Human Resources Information System Partner III,"['hris configuration', 'data analysis', 'process improvement', 'communication', 'collaboration', 'problem solving', 'mentoring', 'customer service', 'diplomacy', 'consulting', 'ukg pro', 'ukg workforce management', 'business intelligence', 'cognos reporting', 'technical support']","['ukg pro', 'cognos reporting', 'business intelligence', 'hr principles', 'hr processes', 'hr practices', 'hris skills', 'communication and diplomacy', '4 years HR experience']","['ukg pro', 'cognos reporting']","['business intelligence', 'hr principles', 'hr processes', 'hr practices', 'hris skills', 'communication and diplomacy']",['4 years HR experience'],15,9,0.3333,0.2,0.25,0.1429,3,6,12,0.4444,0.3333,0.381,
3891073623,HR,Human Resources Specialist,"['hr administration', 'onboarding', 'policy development', ""bachelor's degree"", 'customer service', 'relationship building', 'problem solving', 'communication', 'self-motivation', 'teamwork', 'flexibility', 'autonomy', 'job description creation', 'hr consulting', 'crm management', 'reference checks', 'background checks', 'drug screenings', ""valid driver's license""]","['hr administrative tasks', 'onboarding', 'policy development', 'job description creation', 'employee issues', 'customer service oriented mindset', 'conflict resolution process', 'reference checks', 'background checks', 'drug screenings', 'EEOC guidelines', 'FLSA compliance', 'ADA compliance']",[],"['hr administrative tasks', 'onboarding', 'policy development', 'job description creation', 'employee issues', 'customer service oriented mindset', 'conflict resolution process', 'reference checks', 'background checks', 'drug screenings']","['EEOC guidelines', 'FLSA compliance', 'ADA compliance']",19,13,0.4615,0.3158,0.375,0.2308,6,7,13,0.5385,0.3684,0.4375,
3894573937,HR,Human Resources Generalist,"['hris systems', 'microsoft office', 'data analysis', 'project management', 'onboarding', 'training development', 'conflict resolution', 'communication', 'problem solving', 'relationship building', 'organizational skills', 'critical thinking', 'independent thinking', 'attention to detail', 'employment law', 'customer service']","['ultimate software', 'greenhouse', 'cornerstone', 'talent acquisition', 'onboarding', 'training', 'conflict resolution', 'learning & development', 'ADA process', 'local employment law', 'state employment law', 'federal employment law']","['ultimate software', 'greenhouse', 'cornerstone']","['talent acquisition', 'onboarding', 'training', 'conflict resolution', 'learning & development']","['ADA process', 'local employment law', 'state employment law', 'federal employment law']",16,12,0.1667,0.125,0.1429,0.0769,2,10,14,0.5,0.25,0.3333,
3901372502,HR,Human Resources Coordinator,"['hr experience', 'hr systems (successfactors, workday, sap)', 'workforce planning', 'advanced excel', 'powerpoint', 'budget control', 'financial measures', 'hiring procedures', 'internal communication reporting', 'analytical skills', 'ability to thrive under pressure', 'multi-tasking', 'attention to detail', 'proactive', 'self-motivated', 'flexible attitude', 'collaboration', 'communication', 'international teamwork', 'spanish speaking']","['microsof excel', 'workforce planning', 'advanced excel', 'powerpoint skills', 'hr systems']",['microsof excel'],"['workforce planning', 'advanced excel', 'powerpoint skills']",['hr systems'],20,5,0.4,0.1,0.16,0.087,2,3,18,0.8,0.2,0.32,
3901176444,HR,Director of Human Resources,"['human resources management', 'employee relations', 'compliance with labor laws', 'ms office', 'hris systems', 'training and development', 'policy development', 'recruitment strategies', 'data analysis', 'project management', 'communication', 'leadership', 'organizational skills', 'teamwork', 'problem solving', 'confidentiality', 'flexibility', 'mentoring', 'interpersonal skills', 'adaptability']","['ms office', 'web-based hris', 'employee relations', 'workplace safety', 'progressive discipline', 'leave management', 'benefits administration', 'talent acquisition', 'conflict resolution', 'confidentiality', '3-4 years supervising', '6-8 years hr experience', 'FMLA', 'PFL', 'HIPAA compliance', 'PHR certification', 'SHRM-CP certification', 'SHRP certification']","['ms office', 'web-based hris']","['employee relations', 'workplace safety', 'progressive discipline', 'leave management', 'benefits administration', 'talent acquisition', 'conflict resolution', 'confidentiality', '3-4 years supervising', '6-8 years hr experience']","['FMLA', 'PFL', 'HIPAA compliance', 'PHR certification', 'SHRM-CP certification', 'SHRP certification']",20,18,0.1667,0.15,0.1579,0.0857,3,15,17,0.1667,0.15,0.1579,
3905824247,HR,Human Resources Generalist,"['employee relations', 'training', 'employment', 'benefits management', 'payroll functions', 'microsoft excel', 'microsoft word', 'budget management', 'reporting', 'pre-employment screening', 'onboarding', 'communication', 'problem solving', 'detail-oriented', 'multi-tasking', 'interpersonal skills', 'flexibility', 'teamwork', 'time management', 'customer service', 'compliance', 'hris software', 'microsoft outlook', 'iso standards', 'patience']","['HRIS software', 'microsof excel', 'microsof word', 'microsof outlook', 'employee relations', 'training programs', 'employment', 'benefits management', 'safety functions', 'payroll functions', 'basic budget management', 'I-9 verification', 'OSHA', 'FMLA compliance', 'ada compliance', 'phr certification', 'shrm-cp certification']","['HRIS software', 'microsof excel', 'microsof word', 'microsof outlook']","['employee relations', 'training programs', 'employment', 'benefits management', 'safety functions', 'payroll functions', 'basic budget management']","['I-9 verification', 'OSHA', 'FMLA compliance', 'ada compliance', 'phr certification', 'shrm-cp certification']",25,17,0.2941,0.2,0.2381,0.1351,5,12,20,0.5294,0.36,0.4286,
3905340218,HR,Human Resources Assistant,"['human resources', 'microsoft office', 'organizational skills', 'clerical skills', 'communication', 'customer service', 'proactive problem solving', 'professional attitude', 'team support', 'e-verify system', 'bilingual (english/spanish)']","['e-verify system', 'MS office', 'job verifications', 'employee records', 'employee personnel files', 'onboarding process', 'job interviews', 'employee training sessions', 'HR projects', 'bilingual (english/spanish)']","['e-verify system', 'MS office']","['job verifications', 'employee records', 'employee personnel files', 'onboarding process', 'job interviews', 'employee training sessions', 'HR projects']",['bilingual (english/spanish)'],11,10,0.2,0.1818,0.1905,0.1053,2,8,9,0.2,0.1818,0.1905,
3902344478,HR,Junior Human Resources Consultant,"['microsoft word', 'microsoft powerpoint', 'microsoft excel', 'hris', 'pivot tables', 'vlookup', 'communication', 'attention to detail', 'professionalism', 'teamwork', 'positive attitude', 'adaptability']","['microsoft word', 'powerpoint', 'excel', 'pivot tables', 'vlookups']","['microsoft word', 'powerpoint', 'excel']","['pivot tables', 'vlookups']",[],12,5,0.4,0.1667,0.2353,0.1333,2,3,10,1.0,0.4167,0.5882,
3905690261,HR,Human Resources Business Partner,"['industrial relations', 'human resources management', 'employee relations', 'project management', 'data analysis', 'negotiation', 'hr operational planning', 'people development', 'communication', 'relationship building', 'problem solving', 'collaboration', 'strategic thinking', 'leadership', 'adaptability', 'influence', 'empathy', 'organizational design', 'compliance', 'cultural awareness']","['industrial relations', 'employee relations', 'organizational design', 'collective agreement negotiations', 'HR operational plan', 'people solutions', 'people processes', 'people programs', 'EEOC guidelines']",[],"['industrial relations', 'employee relations', 'organizational design', 'collective agreement negotiations', 'HR operational plan', 'people solutions', 'people processes', 'people programs']",['EEOC guidelines'],20,9,0.3333,0.15,0.2069,0.1154,3,6,17,0.5556,0.25,0.3448,
3900984023,HR,Human Resources Solutions Manager,"['project management', 'data analysis', 'business acumen', 'employee engagement strategies', 'leadership', 'collaboration', 'communication', 'problem solving', 'strategic agility', 'time management', 'adaptability', 'self-motivation', 'continuous improvement mindset', 'agile methodologies', 'organizational change management', 'risk analysis']","['talent acquisition', 'workforce planning', 'organizational change management', 'agile methodologies', 'employee engagement', 'business acumen', 'project management skills', 'analytical and problem-solving skills', 'continuous improvement mindset']",[],"['talent acquisition', 'workforce planning', 'organizational change management', 'agile methodologies', 'employee engagement', 'business acumen', 'project management skills', 'analytical and problem-solving skills', 'continuous improvement mindset']",[],16,9,0.4444,0.25,0.32,0.1905,4,5,12,0.6667,0.375,0.48,
3905835705,HR,Human Resources Generalist,"['payroll administration', 'hr laws and regulations', 'employee benefits administration', 'onboarding and offboarding processes', 'communication', 'organizational skills', 'teamwork', 'discretion', 'independence', 'problem solving', 'compliance auditing', 'report generation', 'documentation management', 'attention to detail']","['payroll processing', 'employee onboarding', 'employee offboarding', 'conflict resolution process', 'three years payroll experience', 'one to three years hr experience', 'FMLA']",[],"['payroll processing', 'employee onboarding', 'employee offboarding', 'conflict resolution process', 'three years payroll experience', 'one to three years hr experience']",['FMLA'],14,7,0.0,0.0,0.0,0.0,0,7,14,0.0,0.0,0.0,
3891011926,HR,Human Resources Generalist,"['hris', 'labor laws', 'policy development', 'performance management', 'talent acquisition', 'onboarding', 'digital tools', 'conflict resolution', 'communication', 'interpersonal skills', 'problem solving', 'organizational skills', 'change management', 'team collaboration', 'relationship building', 'attention to detail', 'hcm', 'hrms', 'training program design']","['employee relations', 'talent acquisition', 'onboarding process', 'performance management', 'payroll processing', 'benefits administration', 'leave management', 'employee development', 'compliance', 'policy development', 'change management', 'FLSA compliance', 'ADA compliance', 'phr certification', 'shrm-cp certification']",[],"['employee relations', 'talent acquisition', 'onboarding process', 'performance management', 'payroll processing', 'benefits administration', 'leave management', 'employee development', 'compliance', 'policy development', 'change management']","['FLSA compliance', 'ADA compliance', 'phr certification', 'shrm-cp certification']",19,15,0.2667,0.2105,0.2353,0.1333,4,11,15,0.3333,0.2632,0.2941,
3903808419,HR,Supervisory Human Resources Specialist,"['human resources management', 'employee training and development', 'human resource theories and principles', 'performance measurement', 'data analysis', 'leadership', 'communication', 'team management', 'problem solving', 'interpersonal skills', 'confidentiality', 'collaboration', 'adaptability', 'decision making', 'compensation and benefits', 'policy development', 'standard operating procedures (sops)', 'budget preparation', 'regulatory compliance', 'strategic thinking']","['position control system', 'benefits administration', 'compensation management', 'employee performance management', 'agency personnel budget preparation', 'human resources policy guidance', 'staff development and training', 'human resource theories', 'laws and regulations', 'PHR certification', 'SHRM-CP certification', 'SPHR certification', 'DPM regulations', 'EEOC guidelines']",['position control system'],"['benefits administration', 'compensation management', 'employee performance management', 'agency personnel budget preparation', 'human resources policy guidance', 'staff development and training', 'human resource theories', 'laws and regulations']","['PHR certification', 'SHRM-CP certification', 'SPHR certification', 'DPM regulations', 'EEOC guidelines']",20,14,0.0,0.0,0.0,0.0,0,14,20,0.1429,0.1,0.1176,
3904415999,HR,Human Resources Coordinator - A&F Co.,"['ms office', 'excel', 'data management', 'attention to detail', 'organizational skills', 'communication', 'teamwork', 'adaptability', 'confidentiality', 'problem solving', 'self-motivation', 'logistics coordination', 'scheduling']","['ms office', 'excel', 'talent acquisition', 'associate relations', 'learning and development', 'benefits', 'EEOC guidelines', 'I-9 verification']","['ms office', 'excel']","['talent acquisition', 'associate relations', 'learning and development', 'benefits']","['EEOC guidelines', 'I-9 verification']",13,8,0.25,0.1538,0.1905,0.1053,2,6,11,0.25,0.1538,0.1905,
3884899919,HR,Human Resources Recruiter,"['human resources', 'computer proficiency', 'communication', 'relationship building', 'teamwork', 'problem solving', 'accountability', 'commitment', 'adaptability', 'recruiting', 'background checks', 'interviewing skills', 'ats (applicant tracking system)', 'word processing software', 'spreadsheet software', 'eeo/aap legislation', 'business english', 'integrity']","['ats', 'phone interviews', 'background checks', 'reference checks', 'talent acquisition', 'EEO/AAP legislation']",['ats'],"['phone interviews', 'background checks', 'reference checks', 'talent acquisition']",['EEO/AAP legislation'],18,6,0.3333,0.1111,0.1667,0.0909,2,4,16,0.5,0.1667,0.25,
3901662440,HR,Human Resources Intern,"['microsoft excel', 'microsoft powerpoint', 'microsoft word', 'project management', 'communication', 'time management', 'organizational skills', 'critical thinking', 'decision making', 'microsoft outlook', 'social media marketing', 'crm management', 'confidentiality']","['workday', 'circa portal', 'talent acquisition', 'employee relations', 'social media', 'eoe compliance']","['workday', 'circa portal']","['talent acquisition', 'employee relations', 'social media']",['eoe compliance'],13,6,0.0,0.0,0.0,0.0,0,6,13,0.1667,0.0769,0.1053,
3891070846,HR,Human Resources Manager,"['human resources management', 'recruitment', 'employee relations', 'hris', 'payroll management', 'compensation analysis', 'benefits administration', 'training and development', 'microsoft office', 'compliance with labor laws', 'market analysis', 'leadership', 'communication', 'problem solving', 'team building', 'collaboration', 'conflict resolution', 'adaptability', 'interpersonal skills', 'organizational skills', 'strategic thinking', 'workday']","['hris', 'workday experience', 'microsoft office', 'recruitment/selection', 'benefits administration', 'compensation analysis', 'employee relations', 'payroll processing', 'conflict resolution process', 'leadership training', 'policies and procedures', 'workers compensation/safety', 'aap/eeo compliance', 'ada compliance', 'aap compliance', 'flsa compliance', 'osha compliance', 'i-9 verification']","['hris', 'workday experience', 'microsoft office']","['recruitment/selection', 'benefits administration', 'compensation analysis', 'employee relations', 'payroll processing', 'conflict resolution process', 'leadership training', 'policies and procedures', 'workers compensation/safety']","['aap/eeo compliance', 'ada compliance', 'aap compliance', 'flsa compliance', 'osha compliance', 'i-9 verification']",22,18,0.2778,0.2273,0.25,0.1429,5,13,17,0.5,0.4091,0.45,
3901661179,HR,Chief Human Resource Officer,"['hr management', 'employee relations', 'compliance', 'talent acquisition', 'training program design', 'performance management', 'regulatory compliance', 'employee orientation', 'professional development', 'communication', 'leadership', 'interpersonal skills', 'problem solving', 'time management', 'teamwork', 'integrity', 'approachability', 'adaptability', 'professionalism', 'attention to detail', 'delegation', 'budget management', 'hr policies development', 'compensation planning', 'hris', 'data analysis', 'conflict resolution', 'safety training', 'background checks', 'employee benefits administration', 'workplace culture improvement', 'organizational strategy development', 'payroll management', 'hr audits', 'analytical skills', 'negotiation', 'conflict management']","['talent management system', 'learning management system', 'employee relations', 'anti-harassment training', 'mandatory compliance training', 'compensation', 'benefits', 'leave', 'disciplinary matters', 'disputes and investigations', 'performance and talent management', 'productivity, recognition, and morale', 'occupational health and safety', 'training and development', 'compensation analysis', 'annual wage analysis', 'audits', 'employee job descriptions', 'HR retention program', 'mediation', 'payroll processing', 'background checks', 'employee eligibility verifications', 'new hire orientation', 'employee recognition', 'conflict resolution process', 'FMLA', 'PPL', 'EIAB', 'FMLA compliance', 'PPL compliance', 'EIAB compliance', 'employee benefit plan', 'employee retirement plan', 'annual employee compliance training', '5 years HR experience', '7 years HR experience']","['talent management system', 'learning management system']","['employee relations', 'anti-harassment training', 'mandatory compliance training', 'compensation', 'benefits', 'leave', 'disciplinary matters', 'disputes and investigations', 'performance and talent management', 'productivity, recognition, and morale', 'occupational health and safety', 'training and development', 'compensation analysis', 'annual wage analysis', 'audits', 'employee job descriptions', 'HR retention program', 'mediation', 'payroll processing', 'background checks', 'employee eligibility verifications', 'new hire orientation', 'employee recognition', 'conflict resolution process']","['FMLA', 'PPL', 'EIAB', 'FMLA compliance', 'PPL compliance', 'EIAB compliance', 'employee benefit plan', 'employee retirement plan', 'annual employee compliance training', '5 years HR experience', '7 years HR experience']",37,37,0.0541,0.0541,0.0541,0.0278,2,35,35,0.2973,0.1892,0.2312,
3901982681,HR,Human Resources Assistant,"['hris', 'payroll software', 'time management', 'communication skills', 'interpersonal skills', 'problem solving', 'organizational skills', 'self-motivation', 'attention to detail', 'customer focus', 'planning & organizing', 'critical thinking', 'microsoft office suite', 'analytical skills', 'mathematical skills', 'bilingual (chinese/spanish)']","['microsoft office suite', 'adp onboarding forms', 'employee relations', 'hris', 'payroll software', 'ada compliance']","['microsoft office suite', 'adp onboarding forms']","['employee relations', 'hris', 'payroll software']",['ada compliance'],16,6,0.5,0.1875,0.2727,0.1579,3,3,13,0.5,0.1875,0.2727,
3906086110,HR,Human Resources Generalist,"[""bachelor's degree"", 'hrbp experience', 'business acumen', 'workforce/talent strategy development', 'organizational effectiveness', 'microsoft office', 'talent acquisition', 'performance management', 'collaboration', 'interpersonal skills', 'adaptability', 'influencing senior leaders', 'relationship building', 'communication', 'hris systems (workday)', 'excel', 'pivot tables', 'active listening', 'agility', 'empathy', 'flexibility']","['excel', 'microsoft office', 'workday', 'talent acquisition', 'workforce/talent strategy', 'matrix management', 'human resources', 'total rewards', 'talent assessment', 'performance management', 'hris systems', 'pivot tables']","['excel', 'microsoft office', 'workday']","['talent acquisition', 'workforce/talent strategy', 'matrix management', 'human resources', 'total rewards', 'talent assessment', 'performance management', 'hris systems', 'pivot tables']",[],21,12,0.4167,0.2381,0.303,0.1786,5,7,16,0.6667,0.3333,0.4444,
3906258049,HR,Principal Human Resources Business Partner,"['employee relations', 'hr generalist', 'talent management', 'compensation', 'benefits administration', 'training and development', 'project management', 'ms office suite', 'oracle', 'report preparation', 'decision making', 'confidentiality', 'communication', 'problem solving', 'collaboration', 'change management', 'judgment', 'adaptability', 'leadership', 'eeo compliance', 'peoplesoft', 'coaching', 'hybrid work management', 'cultural awareness', 'diversity and inclusion advocacy']","['MS office suite', 'peoplesoft', 'oracle', 'employee relations', 'succession planning', 'talent management', 'compensation', 'benefits', 'training and development', 'workforce plan', 'project management', 'SHPR certification', 'SHRM-SCP certification', 'FLSA compliance', 'AAP compliance', 'EEO guidelines']","['MS office suite', 'peoplesoft', 'oracle']","['employee relations', 'succession planning', 'talent management', 'compensation', 'benefits', 'training and development', 'workforce plan', 'project management']","['SHPR certification', 'SHRM-SCP certification', 'FLSA compliance', 'AAP compliance', 'EEO guidelines']",25,16,0.5,0.32,0.3902,0.2424,8,8,17,0.5625,0.36,0.439,
3884809131,HR,Human Resources Business Partner,"['hr policies', 'employee relations', 'performance management', 'organizational development', 'compensation practices', 'recruiting', 'learning and development', 'data analysis', 'communication', 'collaboration', 'coaching', 'problem solving', 'growth mindset', 'leadership', 'strategic thinking', 'engagement', 'adaptability', 'federal employment laws', 'state employment laws']","['employee relations', 'organizational development', 'compensation practices', 'performance feedback', '5 years HR experience', 'FLSA compliance', 'ada compliance']",[],"['employee relations', 'organizational development', 'compensation practices', 'performance feedback', '5 years HR experience']","['FLSA compliance', 'ada compliance']",19,7,0.4286,0.1579,0.2308,0.1304,3,4,16,0.4286,0.1579,0.2308,
3905239401,HR,Human Resources Director,"['human resources management', 'recruitment', 'employee engagement', 'performance management', 'team building', 'hr strategy development', 'data analysis', 'agriculture sector knowledge', 'leadership', 'communication', 'interpersonal skills', 'collaboration', 'problem solving', 'adaptability', 'continuous learning', 'professional development programs', 'sourcing strategies', 'technology start-up experience', 'cultural awareness']","['employee engagement', 'talent acquisition', 'diverse and inclusive workplace', 'recruitment process', 'professional development programs', 'performance management processes', 'employee well-being']",[],"['employee engagement', 'talent acquisition', 'diverse and inclusive workplace', 'recruitment process', 'professional development programs', 'performance management processes', 'employee well-being']",[],19,7,0.2857,0.1053,0.1538,0.0833,2,5,17,0.5714,0.2105,0.3077,
